,genre,artist_name,track_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,preference,prediction
1190,Alternative,Nirvana,Heart-Shaped Box,0.184,0.494,0.677,0.0258,F#,0.0926,-10.232999999999999,Major,0.0452,101.539,4/4,0.316,0,1
2637,Alternative,311,Don't You Worry,0.00195,0.322,0.789,1.39e-05,C,0.105,-6.787999999999999,Major,0.0546,137.017,4/4,0.12300000000000001,0,1
2795,Alternative,Silverchair,Tomorrow,0.000412,0.312,0.693,0.00018,D,0.105,-7.097,Major,0.0326,144.88299999999998,4/4,0.519,0,1
3318,Alternative,Francis and the Lights,May I Have This Dance,0.469,0.5760000000000001,0.451,0.0389,G#,0.0876,-9.571,Major,0.0444,90.439,4/4,0.8029999999999999,0,1
5231,Alternative,Kari Jobe,In The Name Of Love - Recorded At Spotify Studios NYC,0.5710000000000001,0.6779999999999999,0.376,0.0,F#,0.111,-9.031,Major,0.0418,133.985,4/4,0.183,0,1
5650,Alternative,Phil Wickham,You Cannot Be Stopped,0.0995,0.479,0.614,0.0,D,0.10400000000000001,-9.055,Major,0.0364,90.99700000000001,4/4,0.154,0,1
5841,Alternative,The Driver Era,Natural,0.0035299999999999997,0.637,0.561,8.12e-06,D,0.124,-7.86,Major,0.138,80.005,4/4,0.36,0,1
6447,Alternative,Sturgill Simpson,It Ain't All Flowers,0.0442,0.359,0.612,0.0007160000000000001,E,0.124,-9.412,Major,0.0815,152.841,4/4,0.43700000000000006,0,1
9162,Alternative,The Replacements,Androgynous,0.518,0.47600000000000003,0.361,0.0,B,0.0817,-9.312000000000001,Major,0.0287,106.484,4/4,0.389,0,1
11080,Alternative,Purple Mountains,That’s Just the Way That I Feel,0.0131,0.574,0.665,0.000541,C,0.19899999999999998,-6.526,Major,0.032,122.553,4/4,0.665,0,1
11474,Alternative,Buzzcocks,Why Can't I Touch It? - 2001 Remastered Version,0.00017900000000000001,0.5870000000000001,0.613,0.151,C,0.17800000000000002,-9.443999999999999,Minor,0.0341,85.693,4/4,0.655,0,1
11576,Alternative,Escape the Fate,Picture Perfect,0.0039700000000000004,0.465,0.867,0.0,C,0.151,-3.97,Minor,0.0361,155.085,4/4,0.32799999999999996,0,1
12465,Alternative,Evanescence,Hi-Lo,0.75,0.447,0.607,0.000278,D#,0.106,-6.5329999999999995,Minor,0.0314,92.895,4/4,0.258,0,1
12994,Alternative,Flyleaf,Sorrow,0.0161,0.475,0.838,0.0,D,0.331,-3.616,Minor,0.0375,140.093,3/4,0.38,0,1
13453,Alternative,MercyMe,Finally Home,0.396,0.522,0.608,0.00031099999999999997,E,0.11199999999999999,-11.583,Major,0.0374,79.975,4/4,0.509,0,1
27473,Alternative,Freddie Gibbs,Real,0.0786,0.5329999999999999,0.757,0.0,G,0.33,-8.798,Major,0.522,88.60700000000001,4/4,0.563,0,1
27678,Alternative,Ryahn,Anything You Want,0.767,0.5479999999999999,0.289,3.82e-06,D,0.218,-11.762,Minor,0.0487,139.91899999999998,4/4,0.203,0,1
56829,R&B,Killumantii,Follow Me (feat.Jacquees ),0.242,0.7390000000000001,0.332,0.0,F#,0.141,-9.382,Minor,0.302,150.214,4/4,0.387,0,1
57475,R&B,Empire Cast,What Is Love (feat. V. Bozeman),0.22399999999999998,0.514,0.431,0.0,C#,0.114,-8.908,Major,0.0432,97.837,4/4,0.254,0,1
59914,R&B,Kelly Clarkson,A Moment Like This,0.163,0.414,0.5720000000000001,0.0,G#,0.115,-3.918,Major,0.0311,145.184,4/4,0.16,0,1
60183,R&B,Francis and the Lights,May I Have This Dance,0.469,0.5760000000000001,0.451,0.0389,G#,0.0876,-9.571,Major,0.0444,90.439,4/4,0.8029999999999999,0,1
60417,R&B,Rayana Jay,In With You,0.873,0.526,0.431,0.00238,D#,0.0975,-8.215,Major,0.115,86.066,4/4,0.267,0,1
60617,R&B,Tinashe,Party Favors,0.0307,0.654,0.49200000000000005,0.0006940000000000001,G#,0.14400000000000002,-7.777,Major,0.0337,94.992,4/4,0.185,0,1
60844,R&B,The Weeknd,Can't Feel My Face - Martin Garrix Remix,0.00782,0.609,0.7070000000000001,1.58e-05,A,0.34299999999999997,-5.542999999999999,Minor,0.10400000000000001,128.004,4/4,0.12300000000000001,0,1
60935,R&B,Derez De’Shon,Need Sum Mo (feat. Lil Baby),0.0613,0.503,0.716,0.0,G,0.15,-3.625,Minor,0.29600000000000004,145.996,4/4,0.22899999999999998,0,1
61157,R&B,Beyoncé,Standing on the Sun Remix,0.023,0.354,0.8079999999999999,2.42e-05,C,0.259,-6.477,Major,0.17600000000000002,195.956,4/4,0.397,0,1
61325,R&B,Luther Vandross,Endless Love (with Mariah Carey),0.722,0.424,0.423,1.57e-06,A#,0.11800000000000001,-10.004,Major,0.0261,96.051,4/4,0.25,0,1
61341,R&B,Ellie Goulding,Tessellate - Bonus Track,0.907,0.628,0.28,0.0159,D,0.151,-10.843,Major,0.0495,129.736,4/4,0.39899999999999997,0,1
61469,R&B,Ne-Yo,Carry On (Her Letter To Him),0.337,0.507,0.45299999999999996,0.000714,G#,0.109,-8.238,Major,0.039,81.877,4/4,0.22,0,1
61746,R&B,Marvin Winans,Just Don't Wanna Know,0.23800000000000002,0.627,0.397,2.7300000000000003e-05,F#,0.10300000000000001,-8.765,Major,0.0292,119.87700000000001,4/4,0.21899999999999997,0,1
68228,Hip-Hop,Eminem,Walk On Water (feat. Beyoncé),0.805,0.483,0.439,0.0,A,0.637,-10.212,Minor,0.23800000000000002,81.986,4/4,0.618,0,1
68236,Hip-Hop,Rich Brian,Glow Like Dat,0.41100000000000003,0.787,0.586,0.00031099999999999997,A#,0.11800000000000001,-9.64,Major,0.0695,140.036,4/4,0.581,0,1
68699,Hip-Hop,Danny Ocean,Dembow,0.0807,0.802,0.7440000000000001,0.0,F#,0.0917,-5.968,Major,0.078,99.98299999999999,4/4,0.45,0,1
69031,Hip-Hop,Wiz Khalifa,Pull Up (feat. Lil Uzi Vert),0.0178,0.852,0.764,0.0,G#,0.336,-4.283,Minor,0.0631,132.981,4/4,0.266,0,1
69465,Hip-Hop,Comethazine,High Riser,0.11,0.92,0.512,0.00013700000000000002,G#,0.10099999999999999,-9.915,Major,0.425,145.028,4/4,0.91,0,1
69768,Hip-Hop,A$AP Mob,Feels So Good,0.33299999999999996,0.877,0.375,0.0103,A#,0.10099999999999999,-10.83,Major,0.304,77.028,4/4,0.0832,0,1
69873,Hip-Hop,Waka Flocka Flame,Turn Up,0.00487,0.5539999999999999,0.615,0.102,B,0.10400000000000001,-10.474,Minor,0.0493,148.239,4/4,0.44,0,1
70081,Hip-Hop,Voz De Mando,Y Ahora Resulta,0.261,0.826,0.515,1.86e-05,D,0.0762,-5.252000000000001,Major,0.0463,149.59,3/4,0.8640000000000001,0,1
70170,Hip-Hop,Logic,Paradise,0.115,0.551,0.747,0.0,G,0.0895,-7.9110000000000005,Major,0.254,88.93700000000001,4/4,0.205,0,1
70270,Hip-Hop,"nothing,nowhere.","I'm Sorry, I'm Trying",0.31,0.615,0.521,1.6e-06,D,0.0978,-8.849,Major,0.0484,139.503,4/4,0.182,0,1
70857,Hip-Hop,Jack Harlow,Dark Knight,0.0501,0.9,0.43200000000000005,1.23e-06,C,0.111,-8.249,Major,0.091,135.047,4/4,0.155,0,1
77204,Children’s Music,Nirvana,Heart-Shaped Box,0.184,0.494,0.677,0.0258,F#,0.0926,-10.232999999999999,Major,0.0452,101.539,4/4,0.316,0,1
78734,Children’s Music,Silverchair,Tomorrow,0.000412,0.312,0.693,0.00018,D,0.105,-7.097,Major,0.0326,144.88299999999998,4/4,0.519,0,1
83703,R&B,Mariah Carey,I Don't Wanna Cry,0.19699999999999998,0.6409999999999999,0.504,9.01e-05,G,0.28800000000000003,-12.485999999999999,Major,0.031,130.786,4/4,0.276,0,1
84607,R&B,Shai,Comforter,0.00645,0.738,0.38299999999999995,0.000231,G,0.134,-12.761,Major,0.0302,121.897,4/4,0.48200000000000004,0,1
84994,R&B,Dounia,Shyne,0.113,0.731,0.377,0.00952,F,0.11599999999999999,-10.850999999999999,Minor,0.205,139.889,4/4,0.537,0,1
85190,R&B,Yves Tumor,The Feeling When You Walk Away,0.5760000000000001,0.5720000000000001,0.539,0.266,G#,0.0846,-12.255999999999998,Major,0.0275,86.04799999999999,4/4,0.515,0,1
85237,R&B,Jamie Foxx,Slow,0.258,0.769,0.32899999999999996,2.12e-05,C#,0.16699999999999998,-8.65,Major,0.0499,99.88799999999999,4/4,0.319,0,1
85322,R&B,James Vincent McMorrow,Ghosts,0.919,0.6459999999999999,0.297,0.0371,B,0.10300000000000001,-12.922,Minor,0.0304,110.963,4/4,0.18100000000000002,0,1
85388,R&B,Jungle,Smoking Pixels,0.71,0.664,0.327,0.00793,D,0.10099999999999999,-12.550999999999998,Minor,0.0432,91.98899999999999,3/4,0.209,0,1
85483,R&B,ODIE,Northface,0.792,0.802,0.382,0.163,A#,0.0783,-7.356,Major,0.0312,99.969,4/4,0.581,0,1
85672,R&B,Jessie Reyez,Promises,0.779,0.682,0.268,0.00119,G,0.36200000000000004,-11.493,Major,0.0375,122.958,4/4,0.6809999999999999,0,1
85761,R&B,Trey Songz,Sex Ain't Better Than Love,0.152,0.505,0.794,0.0,C,0.18600000000000003,-3.682,Minor,0.0604,121.303,4/4,0.42200000000000004,0,1
86103,R&B,Giveon,Garden Kisses,0.915,0.478,0.373,6.36e-06,F,0.128,-9.505,Major,0.0317,120.12899999999999,4/4,0.354,0,1
